
Host: ed2

Timers On : Fri Mar 24 11:33:55 2017
Timers Off: Fri Mar 24 11:34:54 2017

Wall Time:       59.00 seconds

JK: (A|mn)  :       0.01u       0.00s   0.001780w      4 calls
JK: (A|Q)^-1/2:       0.08u       0.00s   0.094502w      4 calls
JK: (Q|mn)  :       0.00u       0.00s   0.000698w      4 calls
HF: Form H  :       0.00u       0.01s 0.00773800w      1 call
HF: Form S/X:       0.00u       0.00s 0.00008900w      1 call
HF: Guess   :       0.11u       0.00s 0.11587000w      1 call
SAD Guess   :       0.11u       0.00s 0.11006700w      1 call
JK: D       :       0.32u       0.06s   0.275496w 250018 calls
JK: USO2AO  :       0.35u       0.05s   0.246552w 250018 calls
JK: JK      :      50.30u       0.80s      49.78w 250018 calls
JK: J       :       3.45u       0.24s   3.238456w 250018 calls
JK: J1      :       1.48u       0.06s   1.388788w 500027 calls
JK: J2      :       1.64u       0.04s   1.527235w 500027 calls
JK: K       :      44.05u       0.46s      43.67w 250018 calls
JK: K1      :      27.29u       0.14s      27.08w 750030 calls
JK: K2      :      16.40u       0.09s      16.14w 500025 calls
JK: AO2USO  :       0.01u       0.00s   0.064460w 250018 calls
DIISManager::add_entry:       0.00u       0.00s   0.001552w     12 calls
DIISManager::extrapolate:       0.01u       0.00s   0.000288w     11 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s   0.000065w     11 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000137w     11 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.000067w     11 calls
HF: Form G  :       0.00u       0.00s   0.000715w      9 calls
HF: Form F  :       0.00u       0.00s   0.000014w      9 calls
HF: DIIS    :       0.01u       0.00s   0.001839w      9 calls
HF: Form C  :       0.00u       0.00s   0.000225w      9 calls
HF: Form D  :       0.00u       0.00s   0.000004w      9 calls

***********************************************************

Host: ed2

Timers On : Fri Mar 24 12:10:42 2017
Timers Off: Fri Mar 24 12:11:40 2017

Wall Time:       58.00 seconds

JK: (A|mn)  :       0.01u       0.00s   0.001772w      4 calls
JK: (A|Q)^-1/2:       0.10u       0.00s   0.092910w      4 calls
JK: (Q|mn)  :       0.00u       0.00s   0.000672w      4 calls
HF: Form H  :       0.00u       0.00s 0.00795000w      1 call
